index	video_id	views	upload_age	title
1	ogewGPZi5co	1.5k views	13 hours ago	BREAKING: India Is Wasting 10,000 AI Startups - An IIT Hyderabad Professor Exposes the Vision Gap
2	_2q-5zfjAmk	582 views	14 hours ago	EXCLUSIVE: India's Varya Gives Every Creator Studio-Grade Video AI - At 48 Paisa Per Second
3	gMo64HsAdAc	4.8k views	15 hours ago	BREAKING: The Claude Ban Shook India's Developers - Now They're Rethinking Their Entire AI Stack
4	U0kNFc00X0M	567 views	16 hours ago	ALERT: America's Visa Crisis Is Sending India's Best Talent Home - GCCs Are Ready to Absorb Them
5	SVUaTM0tRUo	593 views	17 hours ago	ALERT: India's Job Market Is Defying the AI Apocalypse - Here Is the Growth Data That Explains Why
6	uLyFt2_VsMM	150 views	18 hours ago	BREAKING: AVPN's AI Opportunity Fund Says Asia's Inclusion Crisis Starts With a Trust Deficit
7	WhsNsJ1jNO8	1.7k views	19 hours ago	BREAKING: Why HCL Chose Sarvam Over OpenAI to Power India's Enterprise AI Future
8	MuJZvciqikc	1.9k views	19 hours ago	EXCLUSIVE: Zoho Built India's First In-House Server - Cutting TCO 30% Amid a 4x Cost Shock
9	2anI9xxSG44	9.7k views	2 days ago	AWS & Google Are Spending Billions in India… But Can They Beat This Indian Company? | Ft. Sify CEO
10	1nuX9an0UB0	675 views	2 days ago	They Fixed Agentic AI's Biggest Problem - 70% Failure Rate Solved | Ft. Ui Path & Omega Healthcare
11	Ca1Y1PL3t98	26k views	3 days ago	EXCLUSIVE: TCS Is Cutting Jobs. Big Tech Is Hiring in India - GCCs Are Replacing Traditional IT
12	IxDnxzVkmMM	1.4k views	3 days ago	BREAKING: Apple Is Coming Back to Intel - Trump's Semiconductor Gambit to End Taiwan Dependence
13	cpckKEBh_9U	1.3k views	3 days ago	BREAKING: Sundar Pichai Thanked Stanford — But Said Nothing About the Walkout That Stole the Show
